Mesures enregistrées le 23/05/23 à 22:56

 Données n°1 ------------------------------------------

Nuage de points : Nuage 1

X	;	Y	;	Z
0.4086645702121259	;	0.061675417296912	;	0.1406981540320101
0.40920992435485376	;	0.058827982081716	;	0.15261982343068267
0.4087475334809018	;	0.06846170522219	;	0.1523310405000331
0.4089615434218296	;	0.073235097240221	;	0.15415494286938938
0.4143157799071982	;	0.078658257849492	;	0.16597066401094646
0.4140219734211582	;	0.073267433663059	;	0.16518798424190304
0.4216753044509724	;	0.075874277314063	;	0.17293764863657618
0.42747571829449754	;	0.074640816023305	;	0.1764169652328526
0.44145120347711503	;	0.075857869978815	;	0.1790145975133512
0.41371810313885476	;	0.060907483540422	;	0.163484139043781
0.42082875010805126	;	0.062277646711112	;	0.17163878857684584
0.4315013207132491	;	0.0642729749086	;	0.17742946566259812
0.4194140379249441	;	0.071168939804617	;	0.17089570267206478
0.4439565376380503	;	0.078693084376617	;	0.11193659635314386
0.45326852317588395	;	0.078521544108024	;	0.11434220580101132
0.4620101169291398	;	0.078636688570893	;	0.11901855685403656
0.4675559523523836	;	0.079904955383452	;	0.12451717723675636
0.47275643244809346	;	0.078421874501576	;	0.1333098004451998
0.47491925165636545	;	0.080990270423394	;	0.14147404967742092
0.47416947242183255	;	0.080085184368682	;	0.15400049636127577
0.44709596379255545	;	0.062950772114006	;	0.11201863960634942
0.45851972683393116	;	0.059956821944104	;	0.1152302901728635
0.4672615604586131	;	0.059436052361177	;	0.1227697968251825
0.4727346087461819	;	0.06028209951827	;	0.1311975440704511
0.47570740434601594	;	0.058410272029062	;	0.14034120381527693
0.47512241148671375	;	0.061602404087622	;	0.15198243849621607
0.4535573948354803	;	0.06951445069581	;	0.11366001112492698
0.46394741465464295	;	0.067391206377396	;	0.12026518766355986
0.4698835399372114	;	0.069765209020841	;	0.12662298799953636
0.47431563384222947	;	0.069404600222047	;	0.13643423838975036
0.4752555299529665	;	0.072804030227826	;	0.1487708768766131
0.470530315117901	;	0.06137038020893	;	0.16360309237676762
0.4607630370179114	;	0.061180398830813	;	0.17337266688940844
0.4699117565174619	;	0.078118077188657	;	0.16377389277208665
0.4614450820675906	;	0.078449722082903	;	0.1726958077031436
0.4720258562536504	;	0.070065222770959	;	0.16022789602367285
0.4756848219829778	;	0.067461472216638	;	0.14315774958804967
0.4662745832054081	;	0.070410584703389	;	0.1686493318553233
0.45031121010733843	;	0.060781469967204	;	0.17825659126065363
0.44468961257228057	;	0.068002721281161	;	0.17922132808721833
0.45337747647809756	;	0.07670172262024	;	0.176887176268972
0.44294624711162467	;	0.061218876327549	;	0.17925224246664928


 Données n°4 ------------------------------------------

Nuage de points : Nuage 4

X	;	Y	;	Z
0.4370084061263417	;	0.21797345417682	;	0.10568499844512741
0.45131693795220057	;	0.21849175823486	;	0.10883483260683068
0.46057208313952497	;	0.21762275831903	;	0.1152887931921372
0.46636405280160775	;	0.21913620012169	;	0.12299880917861095
0.47001996238591776	;	0.22022991947985	;	0.13244648843803128
0.47049526188114665	;	0.21763180836616	;	0.142466127048474
0.46740080243558835	;	0.21814555682012	;	0.15367437361522251
0.4630863162274054	;	0.21991419277211	;	0.16045036110650482
0.45608401334057974	;	0.22237412429699	;	0.1671190709453353
0.4270875381258101	;	0.21889848183918	;	0.10718039669123688
0.41755143032330577	;	0.21784601223888	;	0.11174724133661398
0.4090805815357382	;	0.22197568370308	;	0.12046900280511176
0.40432698711639187	;	0.2231322647977	;	0.13084958033252272
0.4038295591770604	;	0.22213352125163	;	0.14231546933527195
0.40688128739886686	;	0.22419533097203	;	0.15437120299586254
0.41480017968921495	;	0.22245677269762	;	0.16494662302315255
0.43863742123435007	;	0.24048465916671	;	0.10499427377669301
